distance,herding_time,coefficients_of_horses,grazing_time,num_mares,stallion_speed,herding_start,herding_end,num_significant_timesteps,true_positives,false_positives,false_negatives,precision,recall,f1_score
0.5,200,0.5,500,4,0.5,47,247,4,4,0,197,1.0,0.02,0.0392156862745098
0.5,200,0.5,500,4,1.0,345,545,2,2,0,199,1.0,0.01,0.019801980198019802
0.5,200,0.5,500,6,0.2,403,603,6,6,0,195,1.0,0.03,0.058252427184466014
0.5,200,0.5,500,6,0.5,310,510,3,3,0,198,1.0,0.015,0.02955665024630542
0.5,200,0.5,500,6,1.0,171,371,3,3,0,198,1.0,0.015,0.02955665024630542
0.5,200,0.5,500,8,0.2,426,626,6,6,0,195,1.0,0.03,0.058252427184466014
0.5,200,0.5,500,8,0.5,335,535,3,3,0,198,1.0,0.015,0.02955665024630542
0.5,200,0.5,500,8,1.0,277,477,6,6,0,195,1.0,0.03,0.058252427184466014
0.5,200,0.5,1500,4,0.2,169,369,30,30,0,171,1.0,0.15,0.2608695652173913
0.5,200,0.5,1500,4,0.5,1292,1492,18,18,0,183,1.0,0.09,0.16513761467889906
0.5,200,0.5,1500,4,1.0,1066,1266,18,18,0,183,1.0,0.09,0.16513761467889906
0.5,200,0.5,1500,6,0.2,1092,1292,52,52,0,149,1.0,0.26,0.41269841269841273
0.5,200,0.5,1500,6,0.5,324,524,25,25,0,176,1.0,0.125,0.2222222222222222
0.5,200,0.5,1500,6,1.0,227,427,23,23,0,178,1.0,0.115,0.2062780269058296
0.5,200,0.5,1500,8,0.2,639,839,40,40,0,161,1.0,0.2,0.33333333333333337
0.5,200,0.5,1500,8,0.5,1410,1610,40,40,0,161,1.0,0.2,0.33333333333333337
0.5,200,0.5,1500,8,1.0,1361,1561,26,26,0,175,1.0,0.13,0.23008849557522126
0.5,200,0.5,2500,4,0.2,2337,2537,85,85,0,116,1.0,0.425,0.5964912280701754
0.5,200,0.5,2500,4,0.5,992,1192,22,22,0,179,1.0,0.11,0.19819819819819817
0.5,200,0.5,2500,4,1.0,2009,2209,18,18,0,183,1.0,0.09,0.16513761467889906
0.5,200,0.5,2500,6,0.2,1640,1840,54,54,0,147,1.0,0.27,0.4251968503937008
0.5,200,0.5,2500,6,0.5,2017,2217,37,37,0,164,1.0,0.185,0.3122362869198312
0.5,200,0.5,2500,6,1.0,1402,1602,25,25,0,176,1.0,0.125,0.2222222222222222
0.5,200,0.5,2500,8,0.2,881,1081,109,109,0,92,1.0,0.545,0.7055016181229774
0.5,200,0.5,2500,8,0.5,168,368,65,65,0,136,1.0,0.325,0.4905660377358491
0.5,200,0.5,2500,8,1.0,1125,1325,37,37,0,164,1.0,0.185,0.3122362869198312
0.5,200,1.0,500,4,0.2,456,656,6,6,0,195,1.0,0.03,0.058252427184466014
0.5,200,1.0,500,4,0.5,493,693,7,7,0,194,1.0,0.035,0.0676328502415459
0.5,200,1.0,500,4,1.0,44,244,8,8,0,193,1.0,0.04,0.07692307692307693
0.5,200,1.0,500,6,0.2,145,345,1,1,0,200,1.0,0.005,0.009950248756218907
0.5,200,1.0,500,6,0.5,117,317,1,1,0,200,1.0,0.005,0.009950248756218907
0.5,200,1.0,500,6,1.0,478,678,8,8,0,193,1.0,0.04,0.07692307692307693
0.5,200,1.0,500,8,0.2,160,360,0,0,0,201,0.0,0.0,0.0
0.5,200,1.0,500,8,0.5,148,348,1,1,0,200,1.0,0.005,0.009950248756218907
0.5,200,1.0,500,8,1.0,5,205,5,5,0,196,1.0,0.025,0.04878048780487806
0.5,200,1.0,1500,4,0.2,732,932,27,27,0,174,1.0,0.135,0.2378854625550661
0.5,200,1.0,1500,4,0.5,822,1022,16,16,0,185,1.0,0.08,0.14814814814814814
0.5,200,1.0,1500,4,1.0,951,1151,15,15,0,186,1.0,0.075,0.13953488372093023
